Anoise	Anoise_err	Asign	Asign_err	Ampl_diode	Ampl_diode_err	Attenuation	Charge	Charge_err
-187.24	11.06	-199.37	10.8	78.0	3.0	48.0	2.4259999999999993	0.09776780656228308
-183.79	10.72	-192.18	10.61	58.026	3.291	48.1	1.6780000000000028	0.09539192837971146
-188.09	11.02	-195.73	11.24	56.005	2.888	48.2	1.5279999999999974	0.09955460813041252
-189.6	10.72	-196.36	10.68	47.636	3.026	48.3	1.3520000000000039	0.0957038766194975
-187.25	11.36	-188.41	11.32	11.366	1.108	48.9	0.23199999999999932	0.10142820120656779
-190.45	11.06	-189.75	10.68	9.0812	0.859	49.0	-0.13999999999999774	0.09723908679126929
-188.34	10.93	-187.72	10.57	7.9909	0.7718	49.1	-0.12400000000000092	0.09616440089762948
-185.87	10.82	-184.27	11.23	6.8996	0.6612	49.2	-0.31999999999999884	0.09862764318384579
-186.25	11.13	-185.36	11.5	6.5518	0.6789	49.3	-0.17799999999999727	0.10121796283269091
-184.21	11.02	-182.6	10.88	5.9008	0.6031	49.4	-0.32200000000000273	0.09794177862383345
-186.0	10.81	-184.32	10.46	5.5022	0.5604	49.5	-0.33600000000000135	0.09513520904481158
-185.67	10.75	-184.14	10.89	5.3222	0.56	49.6	-0.3060000000000002	0.09677904731913826
-187.73	11.24	-186.12	10.32	5.1136	0.5032	49.7	-0.32199999999999707	0.09650699456516093
-184.22	11.19	-182.28	10.69	5.0025	0.4785	49.8	-0.38799999999999957	0.09787588058352271
-186.13	10.85	-184.62	10.73	4.9026	0.4811	49.9	-0.30199999999999816	0.0965101859909098
-188.95	10.97	-187.28	10.36	4.7702	0.4328	50.0	-0.3339999999999975	0.0954296599595744
-180.0	11.27	-185.5	11.67	41.997	2.652	48.4	1.1	0.10260639356297442
-191.85	10.51	-195.01	11.1	32.165	2.439	48.5	0.6319999999999992	0.09667887049402263
-190.44	10.75	-192.7	10.41	25.977	2.195	48.6	0.4519999999999982	0.09464261196733742
-187.2	10.78	-189.16	10.85	19.941	1.795	48.7	0.39200000000000157	0.09673280725793086
-191.07	10.54	-191.9	11.02	15.775	1.374	48.8	0.1660000000000025	0.09644314387243917
